,Value,Years,Crime,State
86,909,2003,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Andhra Pradesh
87,1102,2004,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Andhra Pradesh
88,2657,2005,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Andhra Pradesh
89,1347,2006,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Andhra Pradesh
90,1005,2007,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Andhra Pradesh
91,889,2008,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Andhra Pradesh
92,704,2009,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Andhra Pradesh
93,753,2010,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Andhra Pradesh
94,314,2011,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Andhra Pradesh
95,21,2012,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Andhra Pradesh
96,16477,2001,TOTAL CRIMES AGAINST WOMEN,Andhra Pradesh
97,18880,2002,TOTAL CRIMES AGAINST WOMEN,Andhra Pradesh
98,18382,2003,TOTAL CRIMES AGAINST WOMEN,Andhra Pradesh
99,18921,2004,TOTAL CRIMES AGAINST WOMEN,Andhra Pradesh
100,20819,2005,TOTAL CRIMES AGAINST WOMEN,Andhra Pradesh
101,21484,2006,TOTAL CRIMES AGAINST WOMEN,Andhra Pradesh
102,24738,2007,TOTAL CRIMES AGAINST WOMEN,Andhra Pradesh
103,24111,2008,TOTAL CRIMES AGAINST WOMEN,Andhra Pradesh
104,25569,2009,TOTAL CRIMES AGAINST WOMEN,Andhra Pradesh
105,27244,2010,TOTAL CRIMES AGAINST WOMEN,Andhra Pradesh
106,28246,2011,TOTAL CRIMES AGAINST WOMEN,Andhra Pradesh
107,28171,2012,TOTAL CRIMES AGAINST WOMEN,Andhra Pradesh
108,33,2001,RAPE,Arunachal Pradesh
109,38,2002,RAPE,Arunachal Pradesh
110,31,2003,RAPE,Arunachal Pradesh
111,42,2004,RAPE,Arunachal Pradesh
112,35,2005,RAPE,Arunachal Pradesh
113,37,2006,RAPE,Arunachal Pradesh
114,48,2007,RAPE,Arunachal Pradesh
115,42,2008,RAPE,Arunachal Pradesh
116,59,2009,RAPE,Arunachal Pradesh
117,47,2010,RAPE,Arunachal Pradesh
118,42,2011,RAPE,Arunachal Pradesh
119,46,2012,RAPE,Arunachal Pradesh
120,55,2001,KIDNAPPING & ABDUCTION,Arunachal Pradesh
121,38,2002,KIDNAPPING & ABDUCTION,Arunachal Pradesh
122,51,2003,KIDNAPPING & ABDUCTION,Arunachal Pradesh
123,41,2004,KIDNAPPING & ABDUCTION,Arunachal Pradesh
124,39,2005,KIDNAPPING & ABDUCTION,Arunachal Pradesh
125,51,2006,KIDNAPPING & ABDUCTION,Arunachal Pradesh
126,44,2007,KIDNAPPING & ABDUCTION,Arunachal Pradesh
127,47,2008,KIDNAPPING & ABDUCTION,Arunachal Pradesh
128,28,2009,KIDNAPPING & ABDUCTION,Arunachal Pradesh
129,46,2010,KIDNAPPING & ABDUCTION,Arunachal Pradesh
130,60,2011,KIDNAPPING & ABDUCTION,Arunachal Pradesh
131,58,2012,KIDNAPPING & ABDUCTION,Arunachal Pradesh
132,0,2001,DOWRY DEATH,Arunachal Pradesh
133,0,2002,DOWRY DEATH,Arunachal Pradesh
134,0,2003,DOWRY DEATH,Arunachal Pradesh
135,0,2004,DOWRY DEATH,Arunachal Pradesh
136,0,2005,DOWRY DEATH,Arunachal Pradesh
137,1,2006,DOWRY DEATH,Arunachal Pradesh
138,0,2007,DOWRY DEATH,Arunachal Pradesh
139,0,2008,DOWRY DEATH,Arunachal Pradesh
140,0,2009,DOWRY DEATH,Arunachal Pradesh
141,0,2010,DOWRY DEATH,Arunachal Pradesh
142,0,2011,DOWRY DEATH,Arunachal Pradesh
143,1,2012,DOWRY DEATH,Arunachal Pradesh
144,78,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Arunachal Pradesh
145,68,2002,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Arunachal Pradesh
146,43,2003,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Arunachal Pradesh
147,61,2004,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Arunachal Pradesh
148,67,2005,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Arunachal Pradesh
149,63,2006,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Arunachal Pradesh
150,72,2007,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Arunachal Pradesh
151,72,2008,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Arunachal Pradesh
152,58,2009,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Arunachal Pradesh
153,84,2010,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Arunachal Pradesh
154,51,2011,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Arunachal Pradesh
155,67,2012,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Arunachal Pradesh
156,3,2001,INSULT TO THE MODESTY OF WOMEN,Arunachal Pradesh
157,2,2002,INSULT TO THE MODESTY OF WOMEN,Arunachal Pradesh
158,0,2003,INSULT TO THE MODESTY OF WOMEN,Arunachal Pradesh
159,0,2004,INSULT TO THE MODESTY OF WOMEN,Arunachal Pradesh
160,0,2005,INSULT TO THE MODESTY OF WOMEN,Arunachal Pradesh
161,2,2006,INSULT TO THE MODESTY OF WOMEN,Arunachal Pradesh
162,1,2007,INSULT TO THE MODESTY OF WOMEN,Arunachal Pradesh
163,1,2008,INSULT TO THE MODESTY OF WOMEN,Arunachal Pradesh
164,6,2009,INSULT TO THE MODESTY OF WOMEN,Arunachal Pradesh
165,1,2010,INSULT TO THE MODESTY OF WOMEN,Arunachal Pradesh
166,0,2011,INSULT TO THE MODESTY OF WOMEN,Arunachal Pradesh
167,2,2012,INSULT TO THE MODESTY OF WOMEN,Arunachal Pradesh
168,11,2001,CRUELTY BY HUSBAND OR RELATIVES,Arunachal Pradesh
169,13,2002,CRUELTY BY HUSBAND OR RELATIVES,Arunachal Pradesh
170,14,2003,CRUELTY BY HUSBAND OR RELATIVES,Arunachal Pradesh
171,4,2004,CRUELTY BY HUSBAND OR RELATIVES,Arunachal Pradesh
172,9,2005,CRUELTY BY HUSBAND OR RELATIVES,Arunachal Pradesh
173,14,2006,CRUELTY BY HUSBAND OR RELATIVES,Arunachal Pradesh
174,20,2007,CRUELTY BY HUSBAND OR RELATIVES,Arunachal Pradesh
175,13,2008,CRUELTY BY HUSBAND OR RELATIVES,Arunachal Pradesh
176,13,2009,CRUELTY BY HUSBAND OR RELATIVES,Arunachal Pradesh
177,12,2010,CRUELTY BY HUSBAND OR RELATIVES,Arunachal Pradesh
178,18,2011,CRUELTY BY HUSBAND OR RELATIVES,Arunachal Pradesh
179,26,2012,CRUELTY BY HUSBAND OR RELATIVES,Arunachal Pradesh
180,0,2001,IMMORAL TRAFFIC(PREVENTION)ACT,Arunachal Pradesh
181,0,2002,IMMORAL TRAFFIC(PREVENTION)ACT,Arunachal Pradesh
182,0,2003,IMMORAL TRAFFIC(PREVENTION)ACT,Arunachal Pradesh
183,0,2004,IMMORAL TRAFFIC(PREVENTION)ACT,Arunachal Pradesh
184,0,2005,IMMORAL TRAFFIC(PREVENTION)ACT,Arunachal Pradesh
185,0,2006,IMMORAL TRAFFIC(PREVENTION)ACT,Arunachal Pradesh
186,0,2007,IMMORAL TRAFFIC(PREVENTION)ACT,Arunachal Pradesh
187,0,2008,IMMORAL TRAFFIC(PREVENTION)ACT,Arunachal Pradesh
188,0,2009,IMMORAL TRAFFIC(PREVENTION)ACT,Arunachal Pradesh
189,0,2010,IMMORAL TRAFFIC(PREVENTION)ACT,Arunachal Pradesh
190,0,2011,IMMORAL TRAFFIC(PREVENTION)ACT,Arunachal Pradesh
191,1,2012,IMMORAL TRAFFIC(PREVENTION)ACT,Arunachal Pradesh
192,0,2001,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Arunachal Pradesh
193,0,2002,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Arunachal Pradesh
194,0,2003,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Arunachal Pradesh
195,0,2004,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Arunachal Pradesh
196,0,2005,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Arunachal Pradesh
197,0,2006,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Arunachal Pradesh
198,0,2007,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Arunachal Pradesh
199,0,2008,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Arunachal Pradesh
200,0,2009,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Arunachal Pradesh
201,0,2010,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Arunachal Pradesh
202,0,2011,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Arunachal Pradesh
203,0,2012,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Arunachal Pradesh
204,180,2001,TOTAL CRIMES AGAINST WOMEN,Arunachal Pradesh
205,159,2002,TOTAL CRIMES AGAINST WOMEN,Arunachal Pradesh
206,139,2003,TOTAL CRIMES AGAINST WOMEN,Arunachal Pradesh
207,148,2004,TOTAL CRIMES AGAINST WOMEN,Arunachal Pradesh
208,150,2005,TOTAL CRIMES AGAINST WOMEN,Arunachal Pradesh
209,168,2006,TOTAL CRIMES AGAINST WOMEN,Arunachal Pradesh
210,185,2007,TOTAL CRIMES AGAINST WOMEN,Arunachal Pradesh
211,175,2008,TOTAL CRIMES AGAINST WOMEN,Arunachal Pradesh
212,164,2009,TOTAL CRIMES AGAINST WOMEN,Arunachal Pradesh
213,190,2010,TOTAL CRIMES AGAINST WOMEN,Arunachal Pradesh
214,171,2011,TOTAL CRIMES AGAINST WOMEN,Arunachal Pradesh
215,201,2012,TOTAL CRIMES AGAINST WOMEN,Arunachal Pradesh
216,817,2001,RAPE,Assam
217,970,2002,RAPE,Assam
218,1095,2003,RAPE,Assam
219,1171,2004,RAPE,Assam
220,1238,2005,RAPE,Assam
221,1244,2006,RAPE,Assam
222,1437,2007,RAPE,Assam
223,1438,2008,RAPE,Assam
224,1631,2009,RAPE,Assam
225,1721,2010,RAPE,Assam
226,1700,2011,RAPE,Assam
227,1716,2012,RAPE,Assam
228,1070,2001,KIDNAPPING & ABDUCTION,Assam
229,1276,2002,KIDNAPPING & ABDUCTION,Assam
230,1351,2003,KIDNAPPING & ABDUCTION,Assam
231,1552,2004,KIDNAPPING & ABDUCTION,Assam
232,1456,2005,KIDNAPPING & ABDUCTION,Assam
233,1544,2006,KIDNAPPING & ABDUCTION,Assam
234,1471,2007,KIDNAPPING & ABDUCTION,Assam
235,1789,2008,KIDNAPPING & ABDUCTION,Assam
236,2092,2009,KIDNAPPING & ABDUCTION,Assam
237,2767,2010,KIDNAPPING & ABDUCTION,Assam
238,3192,2011,KIDNAPPING & ABDUCTION,Assam
239,3360,2012,KIDNAPPING & ABDUCTION,Assam
240,59,2001,DOWRY DEATH,Assam
241,70,2002,DOWRY DEATH,Assam
242,60,2003,DOWRY DEATH,Assam
243,74,2004,DOWRY DEATH,Assam
244,99,2005,DOWRY DEATH,Assam
245,105,2006,DOWRY DEATH,Assam
246,100,2007,DOWRY DEATH,Assam
247,103,2008,DOWRY DEATH,Assam
248,170,2009,DOWRY DEATH,Assam
249,175,2010,DOWRY DEATH,Assam
250,121,2011,DOWRY DEATH,Assam
251,140,2012,DOWRY DEATH,Assam
252,850,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Assam
253,984,2002,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Assam
254,878,2003,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Assam
255,883,2004,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Assam
256,899,2005,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Assam
257,1290,2006,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Assam
258,789,2007,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Assam
259,1272,2008,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Assam
260,1342,2009,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Assam
261,1400,2010,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Assam
262,1193,2011,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Assam
263,1840,2012,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Assam
264,4,2001,INSULT TO THE MODESTY OF WOMEN,Assam
265,7,2002,INSULT TO THE MODESTY OF WOMEN,Assam
266,6,2003,INSULT TO THE MODESTY OF WOMEN,Assam
267,11,2004,INSULT TO THE MODESTY OF WOMEN,Assam
268,19,2005,INSULT TO THE MODESTY OF WOMEN,Assam
269,10,2006,INSULT TO THE MODESTY OF WOMEN,Assam
270,10,2007,INSULT TO THE MODESTY OF WOMEN,Assam
271,2,2008,INSULT TO THE MODESTY OF WOMEN,Assam
272,10,2009,INSULT TO THE MODESTY OF WOMEN,Assam
273,20,2010,INSULT TO THE MODESTY OF WOMEN,Assam
274,8,2011,INSULT TO THE MODESTY OF WOMEN,Assam
275,5,2012,INSULT TO THE MODESTY OF WOMEN,Assam
276,1248,2001,CRUELTY BY HUSBAND OR RELATIVES,Assam
277,1694,2002,CRUELTY BY HUSBAND OR RELATIVES,Assam
278,1808,2003,CRUELTY BY HUSBAND OR RELATIVES,Assam
279,1945,2004,CRUELTY BY HUSBAND OR RELATIVES,Assam
280,2206,2005,CRUELTY BY HUSBAND OR RELATIVES,Assam
281,2548,2006,CRUELTY BY HUSBAND OR RELATIVES,Assam
282,3000,2007,CRUELTY BY HUSBAND OR RELATIVES,Assam
283,3478,2008,CRUELTY BY HUSBAND OR RELATIVES,Assam
284,4398,2009,CRUELTY BY HUSBAND OR RELATIVES,Assam
285,5410,2010,CRUELTY BY HUSBAND OR RELATIVES,Assam
286,5246,2011,CRUELTY BY HUSBAND OR RELATIVES,Assam
287,6407,2012,CRUELTY BY HUSBAND OR RELATIVES,Assam
288,6,2001,IMMORAL TRAFFIC(PREVENTION)ACT,Assam
289,24,2002,IMMORAL TRAFFIC(PREVENTION)ACT,Assam
290,22,2003,IMMORAL TRAFFIC(PREVENTION)ACT,Assam
291,28,2004,IMMORAL TRAFFIC(PREVENTION)ACT,Assam
292,25,2005,IMMORAL TRAFFIC(PREVENTION)ACT,Assam
293,29,2006,IMMORAL TRAFFIC(PREVENTION)ACT,Assam
294,21,2007,IMMORAL TRAFFIC(PREVENTION)ACT,Assam
295,27,2008,IMMORAL TRAFFIC(PREVENTION)ACT,Assam
296,37,2009,IMMORAL TRAFFIC(PREVENTION)ACT,Assam
297,25,2010,IMMORAL TRAFFIC(PREVENTION)ACT,Assam
298,21,2011,IMMORAL TRAFFIC(PREVENTION)ACT,Assam
299,30,2012,IMMORAL TRAFFIC(PREVENTION)ACT,Assam
300,10,2001,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Assam
301,3,2002,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Assam
302,0,2003,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Assam
303,0,2004,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Assam
304,0,2005,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Assam
305,0,2006,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Assam
306,0,2007,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Assam
307,2,2008,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Assam
308,0,2009,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Assam
309,0,2010,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Assam
310,1,2011,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Assam
311,3,2012,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Assam
312,4243,2001,TOTAL CRIMES AGAINST WOMEN,Assam
313,5092,2002,TOTAL CRIMES AGAINST WOMEN,Assam
314,5312,2003,TOTAL CRIMES AGAINST WOMEN,Assam
315,5700,2004,TOTAL CRIMES AGAINST WOMEN,Assam
316,6027,2005,TOTAL CRIMES AGAINST WOMEN,Assam
317,6801,2006,TOTAL CRIMES AGAINST WOMEN,Assam
318,6844,2007,TOTAL CRIMES AGAINST WOMEN,Assam
319,8122,2008,TOTAL CRIMES AGAINST WOMEN,Assam
320,9721,2009,TOTAL CRIMES AGAINST WOMEN,Assam
321,11555,2010,TOTAL CRIMES AGAINST WOMEN,Assam
322,11503,2011,TOTAL CRIMES AGAINST WOMEN,Assam
323,13544,2012,TOTAL CRIMES AGAINST WOMEN,Assam
324,888,2001,RAPE,Bihar
325,1040,2002,RAPE,Bihar
326,985,2003,RAPE,Bihar
327,1390,2004,RAPE,Bihar
328,1147,2005,RAPE,Bihar
329,1232,2006,RAPE,Bihar
330,1555,2007,RAPE,Bihar
331,1302,2008,RAPE,Bihar
332,929,2009,RAPE,Bihar
333,795,2010,RAPE,Bihar
334,934,2011,RAPE,Bihar
335,927,2012,RAPE,Bihar
336,518,2001,KIDNAPPING & ABDUCTION,Bihar
337,744,2002,KIDNAPPING & ABDUCTION,Bihar
338,674,2003,KIDNAPPING & ABDUCTION,Bihar
339,997,2004,KIDNAPPING & ABDUCTION,Bihar
340,929,2005,KIDNAPPING & ABDUCTION,Bihar
341,1084,2006,KIDNAPPING & ABDUCTION,Bihar
342,1260,2007,KIDNAPPING & ABDUCTION,Bihar
343,1789,2008,KIDNAPPING & ABDUCTION,Bihar
344,1986,2009,KIDNAPPING & ABDUCTION,Bihar
345,2569,2010,KIDNAPPING & ABDUCTION,Bihar
346,3050,2011,KIDNAPPING & ABDUCTION,Bihar
347,3789,2012,KIDNAPPING & ABDUCTION,Bihar
348,859,2001,DOWRY DEATH,Bihar
349,927,2002,DOWRY DEATH,Bihar
350,909,2003,DOWRY DEATH,Bihar
351,1029,2004,DOWRY DEATH,Bihar
352,1014,2005,DOWRY DEATH,Bihar
353,1188,2006,DOWRY DEATH,Bihar
354,1172,2007,DOWRY DEATH,Bihar
355,1210,2008,DOWRY DEATH,Bihar
356,1295,2009,DOWRY DEATH,Bihar
357,1257,2010,DOWRY DEATH,Bihar
358,1413,2011,DOWRY DEATH,Bihar
359,1275,2012,DOWRY DEATH,Bihar
360,562,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Bihar
361,621,2002,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Bihar
362,688,2003,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Bihar
363,704,2004,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Bihar
364,451,2005,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Bihar
365,530,2006,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Bihar
366,853,2007,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Bihar
367,999,2008,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Bihar
368,726,2009,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Bihar
369,534,2010,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Bihar
370,790,2011,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Bihar
371,118,2012,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Bihar
372,21,2001,INSULT TO THE MODESTY OF WOMEN,Bihar
373,6,2002,INSULT TO THE MODESTY OF WOMEN,Bihar
374,11,2003,INSULT TO THE MODESTY OF WOMEN,Bihar
375,13,2004,INSULT TO THE MODESTY OF WOMEN,Bihar
376,13,2005,INSULT TO THE MODESTY OF WOMEN,Bihar
377,53,2006,INSULT TO THE MODESTY OF WOMEN,Bihar
378,12,2007,INSULT TO THE MODESTY OF WOMEN,Bihar
379,21,2008,INSULT TO THE MODESTY OF WOMEN,Bihar
380,12,2009,INSULT TO THE MODESTY OF WOMEN,Bihar
381,16,2010,INSULT TO THE MODESTY OF WOMEN,Bihar
382,11,2011,INSULT TO THE MODESTY OF WOMEN,Bihar
383,37,2012,INSULT TO THE MODESTY OF WOMEN,Bihar
384,1558,2001,CRUELTY BY HUSBAND OR RELATIVES,Bihar
385,1577,2002,CRUELTY BY HUSBAND OR RELATIVES,Bihar
386,1880,2003,CRUELTY BY HUSBAND OR RELATIVES,Bihar
387,2679,2004,CRUELTY BY HUSBAND OR RELATIVES,Bihar
388,1574,2005,CRUELTY BY HUSBAND OR RELATIVES,Bihar
